epoch,g_loss,d_loss,d_real,d_fake,gp,feature_matching,pixel_diversity,epoch_time
1,6.368517892975961,1.158089663713209,3.4976165679193314,-1.9770559496096065,0.0,0.0,0.08942215919734971,28.420265436172485
2,6.055707352776682,1.6956460783558507,3.118538842806893,-2.3242677801078364,0.0,0.0,0.05568733186491074,5.564374685287476
3,4.920147947726711,1.1641899501123736,2.40125971479762,-1.6434268511591419,0.0,0.0,0.14588464207706914,5.558290481567383
4,4.324202524077508,1.1196205846724971,1.8889693836531332,-1.4917154077801011,0.0,0.0,0.24505943156057788,5.488891124725342
5,3.8799709860355622,1.1647189432574856,1.6536429303307687,-1.2402356968171173,0.0,0.0,0.32163060817026323,5.266849756240845
1,6.5671085301906835,1.2178506870423593,3.465896939077685,-2.277454737934374,0.0,0.0,0.09029843141475032,6.464120149612427
2,6.159648671265571,1.2466646250217193,3.0386353038972422,-2.1594264671927497,0.0,0.0,0.06344708596025744,4.801858901977539
3,4.558085633862403,1.1336132874411922,1.942795998146457,-1.6689160075639524,0.0,0.0,0.1959078463335191,5.070662975311279
4,4.008175757623488,1.194083494524802,1.7191385593745978,-1.330800931059545,0.0,0.0,0.2648034090957334,5.2509543895721436
5,3.615645147139026,1.1163326617210143,1.7458603521508556,-1.2239632638952425,0.0,0.0,0.32778597743280474,4.976962327957153
6,3.855207854701627,1.0517557763284253,1.8537147444102071,-1.3162977658212185,0.0,0.0,0.3218339647977583,5.178570508956909
7,3.7518226715826217,1.05638654097434,1.6692069470882416,-1.2919935030982859,0.0,0.0,0.37293632809192906,5.033987045288086
8,3.69632052798425,1.1270211358224191,1.5820044550684191,-1.3759377579535208,0.0,0.0,0.39995970408762654,5.01576042175293
9,3.6777781709547965,1.0458347009074302,1.7033875582198943,-1.3634277317192285,0.0,0.0,0.41977048304773146,4.972022771835327
10,3.3640307659103024,1.03643994465951,1.6455102761486364,-1.3451631734928777,0.0,0.0,0.4402361661195755,4.956612586975098
11,3.3612970113754272,1.0171392588846144,1.5633558056527568,-1.2927141777209696,0.0,0.0,0.4628864829578707,5.076361417770386
12,3.3372405190621652,1.060527047803325,1.6175791157349464,-1.2912049118068911,0.0,0.0,0.4429223575899678,4.92811393737793
13,3.136209403314898,0.9428833790363804,1.7762248578571505,-1.3897383974925164,0.0,0.0,0.4768428917854063,4.84684157371521
14,3.146825748105203,1.0010349192926962,1.5975615544424904,-1.4108598246689765,0.0,0.0,0.47534223958369226,5.0092692375183105
15,2.982004257940477,0.9466403693922104,1.5739146385702394,-1.3935077965499894,0.0,0.0,0.47959195365828855,4.9084460735321045
16,3.126762124799913,0.882531919787007,1.6248249264073469,-1.5599466250728695,0.0,0.0,0.48745589727355587,5.036284685134888
17,3.04323604606813,0.9688975561049676,1.5631839962856424,-1.4156786393254035,0.0,0.0,0.4729237143070467,4.924489736557007
18,2.8441200563984532,0.948157847889008,1.5915126575817984,-1.4315657060473197,0.0,0.0,0.49495832910460813,5.103724241256714
19,2.6537138252489028,0.9489832972326586,1.6355627058975157,-1.403204578065103,0.0,0.0,0.47613195257802166,4.981396675109863
20,2.8553975993587124,0.912318673826033,1.7103955058320877,-1.6115414726157342,0.0,0.0,0.49393098008248115,5.044236421585083
1,5.599957443701411,1.34149449427151,2.8564185136657896,-1.7807482560933794,0.0,0.0,0.11942012731022048,126.09107160568237
2,3.8689122715042634,1.0698885854008129,1.7224771885327923,-1.3828606300092148,0.0,0.0,0.327407869392807,30.655372619628906
3,3.4610993891086395,1.0517126729766142,1.6178371848050253,-1.3032429558631864,0.0,0.0,0.4257804829518772,29.783049821853638
4,3.1958902906445625,0.9699399746158748,1.5936766277854015,-1.3634759487168302,0.0,0.0,0.4759552821661662,30.12679672241211
5,2.888542525108578,0.9833277996303966,1.5022210546506984,-1.306971029568355,0.0,0.0,0.4868147721857701,30.388054370880127
6,2.74041821077032,1.0371624485960285,1.4554731511122103,-1.2133076245561965,0.0,0.0,0.4966861732955118,30.333378553390503
7,2.634139264671548,0.9692888725729822,1.5499711325844225,-1.3259456614846166,0.0,0.0,0.502442660985641,30.786974906921387
8,2.523057923010252,0.9894489750121404,1.6086247575659196,-1.2767208269752055,0.0,0.0,0.49893293276573847,30.551496744155884
9,2.4458857181581477,0.9676595272369755,1.53063317966982,-1.315723964058369,0.0,0.0,0.5031577150509196,30.27938961982727
10,2.4114347311478217,0.9910956381015408,1.5331619155855434,-1.2658213566428105,0.0,0.0,0.500874537721421,30.155455589294434
11,2.336556820036138,1.010943605193814,1.529780612697879,-1.2342445769537131,0.0,0.0,0.5079259421061544,30.9964656829834
12,2.290047950536302,0.978294028529843,1.4589177518721343,-1.2565351028845293,0.0,0.0,0.5038623618848116,32.165164947509766
13,2.174740254010969,0.9806084595258954,1.5322437677894114,-1.2095818582343534,0.0,0.0,0.5060687992468621,30.946471691131592
14,2.267075458631932,1.0097775352232665,1.4970661145860997,-1.2400321486740582,0.0,0.0,0.5017826396574094,30.185486793518066
15,2.2313754478270567,1.0287558083395356,1.4569147383541012,-1.2334309705686801,0.0,0.0,0.5104127022826556,30.377206563949585
16,2.1353341341018677,1.0550476153498713,1.5039674764028885,-1.1458822251433163,0.0,0.0,0.5058968598113477,30.756357192993164
17,2.14108132129734,1.0315837321929562,1.3798024647154854,-1.181797972274492,0.0,0.0,0.508031871856995,30.411455631256104
18,2.1104864926592817,1.0220789958551093,1.4138653466242899,-1.1909805133088844,0.0,0.0,0.5086321851003517,30.06905746459961
19,2.142452707387579,1.0217757922353097,1.437862873240148,-1.196650185305806,0.0,0.0,0.5108935558101506,30.22277069091797
20,2.142523373142608,1.0682278107670904,1.4400465562939644,-1.154664382302356,0.0,0.0,0.5089926329052564,29.98050546646118
1,3.3271986955939292,1.0601602201968168,1.6394043694969676,-1.300390364283133,0.0,0.0,0.4557722610516848,246.45894122123718
2,2.394830365737078,0.9961661397657262,1.5437673582917952,-1.2138186281690593,0.0,0.0,0.533948989794619,236.73647141456604
3,2.0323035427181972,1.0749902572628822,1.3109041669596735,-1.015142146352556,0.0,0.0,0.5380655694022944,240.20344614982605
